dataset_dog_id,blr_id
1686,BLR-6405
1687,BLR-6406
1688,BLR-6407
1689,BLR-6408
1690,BLR-6409
1691,BLR-6410
1692,BLR-6411
1693,BLR-6412
1694,BLR-6413
1695,BLR-6414
1696,BLR-6415
1697,BLR-6416
1698,BLR-6417
1699,BLR-6418
1700,BLR-6419
1701,BLR-6420
1702,BLR-6421
1703,BLR-6422
1704,BLR-6423
1705,BLR-6424
1706,BLR-6425
1707,BLR-6426
1708,BLR-6427
1709,BLR-6428
1710,BLR-6429
1711,BLR-6430
1712,BLR-6431
1713,BLR-6432
1714,BLR-6433
1715,BLR-6434
1716,BLR-6435
1717,BLR-6436
1718,BLR-6437
1719,BLR-6438
1720,BLR-6439
1721,BLR-6440
1722,BLR-6441
1723,BLR-6442
1724,BLR-6443
1725,BLR-6444
1726,BLR-6445
1727,BLR-6446
1728,BLR-6447
1729,BLR-6448
1730,BLR-6449
1731,BLR-6450
1732,BLR-6451
1733,BLR-6452
1734,BLR-6453
1735,BLR-6454
1736,BLR-6455
1737,BLR-6456
1738,BLR-6457
1739,BLR-6458
1740,BLR-6459
1741,BLR-6460
1742,BLR-6461
1743,BLR-6462
1744,BLR-6463
1745,BLR-6464
1746,BLR-6465
1747,BLR-6466
1748,BLR-6467
1749,BLR-6468
1750,BLR-6469
1751,BLR-6470
1752,BLR-6471
1753,BLR-6472
1754,BLR-6473
1755,BLR-6474
1756,BLR-6475
1757,BLR-6476
1758,BLR-6477
1759,BLR-6478
1760,BLR-6479
1761,BLR-6480
1762,BLR-6481
1763,BLR-6482
1764,BLR-6483
1765,BLR-6484
1766,BLR-6485
1767,BLR-6486
1768,BLR-6487
1769,BLR-6488
1770,BLR-6489
1781,BLR-6490
1785,BLR-6491
1792,BLR-6492
1798,BLR-6493
1806,BLR-6494
1821,BLR-6495
1834,BLR-6496
1845,BLR-6497
1855,BLR-6498
1856,BLR-6499
1857,BLR-6500
1864,BLR-6501
1866,BLR-6502
1869,BLR-6503
1874,BLR-6504
1884,BLR-6505
1885,BLR-6506
1895,BLR-6507
1909,BLR-6508
1910,BLR-6509
1912,BLR-6510
1920,BLR-6511
1924,BLR-6512
1933,BLR-6513
1934,BLR-6514
1935,BLR-6515
1936,BLR-6516
1939,BLR-6517
1950,BLR-6518
1952,BLR-6519
1956,BLR-6520
1967,BLR-6521
1978,BLR-6522
1993,BLR-6523
1995,BLR-6524
1996,BLR-6525
2008,BLR-6526
2011,BLR-6527
2018,BLR-6528
2030,BLR-6529
2031,BLR-6530
2033,BLR-6531
2040,BLR-6532
2043,BLR-6533
2048,BLR-6534
2051,BLR-6535
2067,BLR-6536
2072,BLR-6537
2076,BLR-6538
2081,BLR-6539
2086,BLR-6540
2087,BLR-6541
2102,BLR-6542
2121,BLR-6543
2129,BLR-6544
2142,BLR-6545
2147,BLR-6546
2150,BLR-6547
2158,BLR-6548
2162,BLR-6549
2167,BLR-6550
2207,BLR-6551
2212,BLR-6552
2213,BLR-6553
2220,BLR-6554
2225,BLR-6555
2227,BLR-6556
2232,BLR-6557
2237,BLR-6558
2253,BLR-6559
2262,BLR-6560
2263,BLR-6561
2274,BLR-6562
2276,BLR-6563
2278,BLR-6564
2280,BLR-6565
2285,BLR-6566
2309,BLR-6567
2318,BLR-6568
2319,BLR-6569
2326,BLR-6570
2337,BLR-6571
2345,BLR-6572
2347,BLR-6573
2349,BLR-6574
2374,BLR-6575
2379,BLR-6576
2381,BLR-6577
2382,BLR-6578
2390,BLR-6579
2396,BLR-6580
2398,BLR-6581
2400,BLR-6582
2408,BLR-6583
2413,BLR-6584
2428,BLR-6585
2437,BLR-6586
2448,BLR-6587
2454,BLR-6588
2458,BLR-6589
2472,BLR-6590
2485,BLR-6591
2486,BLR-6592
2502,BLR-6593
2514,BLR-6594
2517,BLR-6595
2518,BLR-6596
2521,BLR-6597
2523,BLR-6598
2535,BLR-6599
2536,BLR-6600
2547,BLR-6601
2559,BLR-6602
2582,BLR-6603
2616,BLR-6604
2633,BLR-6605
2641,BLR-6606
2650,BLR-6607
2653,BLR-6608
2654,BLR-6609
2658,BLR-6610
2671,BLR-6611
2676,BLR-6612
2685,BLR-6613
2695,BLR-6614
2702,BLR-6615
2710,BLR-6616
2713,BLR-6617
2716,BLR-6618
2718,BLR-6619
2727,BLR-6620
2733,BLR-6621
2738,BLR-6622
2757,BLR-6623
2772,BLR-6624
2773,BLR-6625
2782,BLR-6626
2794,BLR-6627
2801,BLR-6628
2816,BLR-6629
2817,BLR-6630
2831,BLR-6631
2833,BLR-6632
2855,BLR-6633
2867,BLR-6634
2869,BLR-6635
2874,BLR-6636
2880,BLR-6637
2881,BLR-6638
2882,BLR-6639
2895,BLR-6640
2903,BLR-6641
2910,BLR-6642
2923,BLR-6643
2929,BLR-6644
2934,BLR-6645
2944,BLR-6646
2945,BLR-6647
2955,BLR-6648
2957,BLR-6649
2969,BLR-6650
2973,BLR-6651
2978,BLR-6652
2979,BLR-6653
2980,BLR-6654
2983,BLR-6655
2984,BLR-6656
2993,BLR-6657
2994,BLR-6658
2996,BLR-6659
3003,BLR-6660
3014,BLR-6661
3019,BLR-6662
3022,BLR-6663
3026,BLR-6664
3046,BLR-6665
3053,BLR-6666
3067,BLR-6667
3094,BLR-6668
3100,BLR-6669
3103,BLR-6670
3140,BLR-6671
3145,BLR-6672
3156,BLR-6673
3158,BLR-6674
3161,BLR-6675
3182,BLR-6676
3186,BLR-6677
3190,BLR-6678
3192,BLR-6679
3195,BLR-6680
3203,BLR-6681
3209,BLR-6682
3219,BLR-6683
3223,BLR-6684
3226,BLR-6685
3249,BLR-6686
3251,BLR-6687
3268,BLR-6688
3269,BLR-6689
3283,BLR-6690
3294,BLR-6691
3309,BLR-6692
3321,BLR-6693
3323,BLR-6694
3326,BLR-6695
3333,BLR-6696
3338,BLR-6697
3341,BLR-6698
3342,BLR-6699
3348,BLR-6700
3355,BLR-6701
3360,BLR-6702
3361,BLR-6703
3362,BLR-6704
3377,BLR-6705
3392,BLR-6706
3400,BLR-6707
3401,BLR-6708
3403,BLR-6709
3405,BLR-6710
3408,BLR-6711
3415,BLR-6712
3422,BLR-6713
3428,BLR-6714
3429,BLR-6715
3442,BLR-6716
3445,BLR-6717
3473,BLR-6718
3498,BLR-6719
3502,BLR-6720
3511,BLR-6721
3513,BLR-6722
3520,BLR-6723
3526,BLR-6724
3528,BLR-6725
3535,BLR-6726
3537,BLR-6727
3543,BLR-6728
3544,BLR-6729
3546,BLR-6730
3548,BLR-6731
3562,BLR-6732
3579,BLR-6733
3584,BLR-6734
3589,BLR-6735
3593,BLR-6736
3599,BLR-6737
3605,BLR-6738
3606,BLR-6739
3616,BLR-6740
3623,BLR-6741
3624,BLR-6742
3631,BLR-6743
3646,BLR-6744
3651,BLR-6745
3660,BLR-6746
3674,BLR-6747
3676,BLR-6748
3697,BLR-6749
3698,BLR-6750
3701,BLR-6751
3707,BLR-6752
3724,BLR-6753
3731,BLR-6754
3734,BLR-6755
3735,BLR-6756
3736,BLR-6757
3744,BLR-6758
3771,BLR-6759
3776,BLR-6760
3779,BLR-6761
3787,BLR-6762
3794,BLR-6763
3796,BLR-6764
3813,BLR-6765
3819,BLR-6766
3823,BLR-6767
3829,BLR-6768
3838,BLR-6769
3848,BLR-6770
3851,BLR-6771
3854,BLR-6772
3863,BLR-6773
3865,BLR-6774
3877,BLR-6775
3880,BLR-6776
3888,BLR-6777
3893,BLR-6778
3897,BLR-6779
3913,BLR-6780
3934,BLR-6781
3940,BLR-6782
3953,BLR-6783
3961,BLR-6784
3965,BLR-6785
3967,BLR-6786
3978,BLR-6787
3979,BLR-6788
3981,BLR-6789
3989,BLR-6790
3991,BLR-6791
3995,BLR-6792
3997,BLR-6793
4004,BLR-6794
4017,BLR-6795
4018,BLR-6796
4020,BLR-6797
4026,BLR-6798
4040,BLR-6799
4044,BLR-6800
4046,BLR-6801
4050,BLR-6802
4073,BLR-6803
4089,BLR-6804
4095,BLR-6805
4097,BLR-6806
4107,BLR-6807
4115,BLR-6808
4117,BLR-6809
4120,BLR-6810
4134,BLR-6811
4139,BLR-6812
4141,BLR-6813
4148,BLR-6814
4150,BLR-6815
4154,BLR-6816
4155,BLR-6817
4161,BLR-6818
4164,BLR-6819
4170,BLR-6820
4175,BLR-6821
4198,BLR-6822
4200,BLR-6823
4204,BLR-6824
4216,BLR-6825
4217,BLR-6826
4220,BLR-6827
4234,BLR-6828
4240,BLR-6829
4246,BLR-6830
4247,BLR-6831
4252,BLR-6832
4273,BLR-6833
4280,BLR-6834
4287,BLR-6835
4288,BLR-6836
4295,BLR-6837
4298,BLR-6838
4301,BLR-6839
4306,BLR-6840
4312,BLR-6841
4320,BLR-6842
4324,BLR-6843
4335,BLR-6844
4338,BLR-6845
4341,BLR-6846
4347,BLR-6847
4354,BLR-6848
4357,BLR-6849
4383,BLR-6850
4393,BLR-6851
4401,BLR-6852
4402,BLR-6853
4403,BLR-6854
4423,BLR-6855
4424,BLR-6856
4429,BLR-6857
4445,BLR-6858
4448,BLR-6859
4452,BLR-6860
4454,BLR-6861
4463,BLR-6862
4465,BLR-6863
4474,BLR-6864
4476,BLR-6865
4483,BLR-6866
4484,BLR-6867
4498,BLR-6868
4502,BLR-6869
4535,BLR-6870
4549,BLR-6871
4559,BLR-6872
4577,BLR-6873
4592,BLR-6874
4599,BLR-6875
4605,BLR-6876
4614,BLR-6877
4620,BLR-6878
4622,BLR-6879
4641,BLR-6880
4647,BLR-6881
4654,BLR-6882
4656,BLR-6883
4663,BLR-6884
4664,BLR-6885
4669,BLR-6886
4677,BLR-6887
4679,BLR-6888
4680,BLR-6889
4686,BLR-6890
4688,BLR-6891
4689,BLR-6892
4702,BLR-6893
4710,BLR-6894
4713,BLR-6895
4716,BLR-6896
4729,BLR-6897
4731,BLR-6898
4734,BLR-6899
4760,BLR-6900
4762,BLR-6901
4772,BLR-6902
4785,BLR-6903
4806,BLR-6904
4809,BLR-6905
4816,BLR-6906
4819,BLR-6907
4822,BLR-6908
4824,BLR-6909
4828,BLR-6910
4831,BLR-6911
4844,BLR-6912
4853,BLR-6913
4865,BLR-6914
4866,BLR-6915
4869,BLR-6916
4883,BLR-6917
4900,BLR-6918
4905,BLR-6919
4911,BLR-6920
4912,BLR-6921
4913,BLR-6922
4921,BLR-6923
4938,BLR-6924
4955,BLR-6925
4973,BLR-6926
4975,BLR-6927
4980,BLR-6928
4987,BLR-6929
4993,BLR-6930
5003,BLR-6931
5010,BLR-6932
5012,BLR-6933
5013,BLR-6934
5018,BLR-6935
5020,BLR-6936
5041,BLR-6937
5043,BLR-6938
5060,BLR-6939
5070,BLR-6940
5071,BLR-6941
5083,BLR-6942
5086,BLR-6943
5092,BLR-6944
5110,BLR-6945
5111,BLR-6946
5124,BLR-6947
5129,BLR-6948
5130,BLR-6949
5139,BLR-6950
5145,BLR-6951
5146,BLR-6952
5180,BLR-6953
5193,BLR-6954
5195,BLR-6955
5196,BLR-6956
5202,BLR-6957
5218,BLR-6958
5222,BLR-6959
5263,BLR-6960
5284,BLR-6961
5285,BLR-6962
5286,BLR-6963
5288,BLR-6964
5295,BLR-6965
5297,BLR-6966
5302,BLR-6967
5319,BLR-6968
5322,BLR-6969
5335,BLR-6970
5342,BLR-6971
5346,BLR-6972
5352,BLR-6973
5359,BLR-6974
5364,BLR-6975
5366,BLR-6976
5375,BLR-6977
5376,BLR-6978
5380,BLR-6979
5381,BLR-6980
5386,BLR-6981
5390,BLR-6982
5408,BLR-6983
5411,BLR-6984
5419,BLR-6985
5427,BLR-6986
5436,BLR-6987
5440,BLR-6988
5442,BLR-6989
5452,BLR-6990
5460,BLR-6991
5480,BLR-6992
5487,BLR-6993
5499,BLR-6994
5501,BLR-6995
5503,BLR-6996
5508,BLR-6997
5521,BLR-6998
5523,BLR-6999
5534,BLR-7000
5538,BLR-7001
5569,BLR-7002
5571,BLR-7003
5582,BLR-7004
5584,BLR-7005
5588,BLR-7006
5591,BLR-7007
5594,BLR-7008
5610,BLR-7009
5622,BLR-7010
5625,BLR-7011
5628,BLR-7012
5631,BLR-7013
5636,BLR-7014
5649,BLR-7015
5654,BLR-7016
5656,BLR-7017
5670,BLR-7018
5672,BLR-7019
5677,BLR-7020
5702,BLR-7021
5704,BLR-7022
5706,BLR-7023
5718,BLR-7024
5720,BLR-7025
5721,BLR-7026
5722,BLR-7027
5749,BLR-7028
5757,BLR-7029
5759,BLR-7030
5770,BLR-7031
5778,BLR-7032
5779,BLR-7033
5782,BLR-7034
5784,BLR-7035
5800,BLR-7036
5805,BLR-7037
5814,BLR-7038
5816,BLR-7039
5824,BLR-7040
5827,BLR-7041
5836,BLR-7042
5838,BLR-7043
5840,BLR-7044
5842,BLR-7045
5857,BLR-7046
5858,BLR-7047
5859,BLR-7048
5861,BLR-7049
5869,BLR-7050
5876,BLR-7051
5888,BLR-7052
5932,BLR-7053
5941,BLR-7054
5956,BLR-7055
5957,BLR-7056
5960,BLR-7057
5965,BLR-7058
5966,BLR-7059
5971,BLR-7060
5973,BLR-7061
5977,BLR-7062
5998,BLR-7063
5999,BLR-7064
